,,,,,,,,,,PALLET DIMENSIONS,,,,,,,
ITEM CLASS,ITEM NUMBER,,,LENGTH,WIDTH,DEPTH,DESCRIPTION,COLOR,STRENGTH,LENGTH,WIDTH,DEPTH,WEIGHT/M ,BUNDLE QTY,PALLET QTY,UNIT OF MEASURE,COST
CB,21209021,RETT Box,RETT,12,09,02,RETT Box 12-1/4 X 9-1/4 X 2,#3 White,200#,,,,370,50,1400,Each,0.669
CB,21209031,RETT Box,RETT,12,09,03,RETT Box 12-1/4 X 9-1/4 X 3,#3 White,200#,,,,440,50,800,Each,0.694
CB,21209041,RETT Box,RETT,12,09,04,RETT Box 12-1/4 X 9-1/4 X 4,#3 White,200#,,,,453,50,800,Each,0.866
CB,21205031,RETT Box,RETT,12,05,03,RETT Box 12-1/2 X 5 X 3 ,#3 White,200#,,,,300,50,1000,Each,0.549
CB,21212031,RETT Box,RETT,12,12,03,RETT Box 12-1/2 X 12-1/2 X 3,#3 White,200#,,,,1152,50,1000,Each,1.475
CB,21310021,RETT Box,RETT,13,10,02,RETT Box 13 X 10 X 2,#3 White,200#,,,,400,50,1200,Each,0.549
CB,21403031,RETT Box,RETT,14,03,03,RETT Box 14 X 3 X 3,#3 White,200#,,,,260,50,2100,Each,0.561
CB,21414031,RETT Box,RETT,14,14,03,RETT Box 14 X 14 X 3,#3 White,200#,,,,1397,50,1000,Each,1.955
CB,21408021,RETT Box,RETT,14,08,02,RETT Box 14-1/4 X 8-3/4 X 2,#3 White,200#,,,,390,50,1500,Each,0.822
CB,21511021,RETT Box,RETT,15,11,02,RETT Box 15 X 11 X 2,#3 White,200#,,,,480,50,1050,Each,0.953
CB,21508021,RETT Box,RETT,15,08,02,RETT Box 15-1/8 X 8-3/4 X 2,#3 White,200#,,,,511,50,1500,Each,0.725
CB,21508031,RETT Box,RETT,15,08,03,RETT Box 15-1/8 X 8-3/4 X 3,#3 White,200#,,,,490,50,1500,Each,0.799
CB,21511041,RETT Box,RETT,15,11,04,RETT Box 15-1/8 X 11-1/8 X 4,#3 White,200#,,,,690,50,800,Each,1.129
CB,21511031,RETT Box,RETT,15,11,03,RETT Box 15-1/8 X 11-1/4 X 3,#3 White,200#,,,,595,50,1000,Each,0.872
CB,21616021,RETT Box,RETT,16,16,02,RETT Box 16-3/8 X 16-3/8 X 2-1/2,#3 White,200#,,,,1554,50,1000,Each,1.324
CB,21711021,RETT Box,RETT,17,11,02,RETT Box 17 X 11 X 2-1/2,#3 White,200#,,,,600,50,800,Each,0.824
CB,21818021,RETT Box,RETT,18,18,02,RETT Box 18-3/8 X 18-3/8 X 2-1/16,#3 White,200#,,,,1100,50,1000,Each,1.427
CB,21912021,RETT Box,RETT,19,12,02,RETT Box 19 X 12 X 2-1/2,#3 White,200#,,,,680,50,800,Each,0.987
CB,22313021,RETT Box,RETT,23,13,02,RETT Box 23 X 13 X 2-1/2,#3 White,200#,,,,836,25,400,Each,1.294
